"","Farm.ID","Farmtype","Stage","Total.Abd","Trophic","Rel.Abd"
"1","MO-1","Or","Seedling",24,"Rice.herb",0.421052631578947
"2","MO-1","Or","Seedling",33,"Detritivore",0.578947368421053
"3","MO-1","Or","Tillering",79,"Rice.herb",0.642276422764228
"4","MO-1","Or","Tillering",7,"Tour.herb",0.0569105691056911
"5","MO-1","Or","Tillering",37,"Detritivore",0.300813008130081
"6","MO-1","Or","Flowering",5,"Rice.herb",0.192307692307692
"7","MO-1","Or","Flowering",20,"Tour.herb",0.769230769230769
"8","MO-1","Or","Flowering",1,"Detritivore",0.0384615384615385
"9","MO-1","Or","Ripening",20,"Rice.herb",0.833333333333333
"10","MO-1","Or","Ripening",4,"Detritivore",0.166666666666667
"11","MO-2","Or","Seedling",21,"Detritivore",1
"12","MO-2","Or","Tillering",53,"Rice.herb",0.803030303030303
"13","MO-2","Or","Tillering",1,"Tour.herb",0.0151515151515152
"14","MO-2","Or","Tillering",12,"Detritivore",0.181818181818182
"15","MO-2","Or","Flowering",23,"Rice.herb",0.766666666666667
"16","MO-2","Or","Flowering",2,"Tour.herb",0.0666666666666667
"17","MO-2","Or","Flowering",5,"Detritivore",0.166666666666667
"18","MO-2","Or","Ripening",62,"Rice.herb",0.96875
"19","MO-2","Or","Ripening",2,"Detritivore",0.03125
"20","MO-3","Or","Seedling",6,"Detritivore",1
"21","MO-3","Or","Tillering",20,"Rice.herb",0.555555555555556
"22","MO-3","Or","Tillering",3,"Tour.herb",0.0833333333333333
"23","MO-3","Or","Tillering",13,"Detritivore",0.361111111111111
"24","MO-3","Or","Flowering",52,"Rice.herb",0.852459016393443
"25","MO-3","Or","Flowering",1,"Tour.herb",0.0163934426229508
"26","MO-3","Or","Flowering",8,"Detritivore",0.131147540983607
"27","MO-3","Or","Ripening",14,"Rice.herb",0.823529411764706
"28","MO-3","Or","Ripening",3,"Tour.herb",0.176470588235294
"29","MC-1","Cv","Seedling",9,"Rice.herb",0.076271186440678
"30","MC-1","Cv","Seedling",109,"Detritivore",0.923728813559322
"31","MC-1","Cv","Tillering",139,"Rice.herb",0.776536312849162
"32","MC-1","Cv","Tillering",1,"Tour.herb",0.00558659217877095
"33","MC-1","Cv","Tillering",39,"Detritivore",0.217877094972067
"34","MC-1","Cv","Flowering",31,"Rice.herb",0.861111111111111
"35","MC-1","Cv","Flowering",3,"Tour.herb",0.0833333333333333
"36","MC-1","Cv","Flowering",2,"Detritivore",0.0555555555555556
"37","MC-1","Cv","Ripening",17,"Rice.herb",1
"38","MC-2","Cv","Seedling",7,"Rice.herb",0.0109204368174727
"39","MC-2","Cv","Seedling",634,"Detritivore",0.989079563182527
"40","MC-2","Cv","Tillering",24,"Rice.herb",0.292682926829268
"41","MC-2","Cv","Tillering",58,"Detritivore",0.707317073170732
"42","MC-2","Cv","Flowering",22,"Rice.herb",0.956521739130435
"43","MC-2","Cv","Flowering",1,"Detritivore",0.0434782608695652
"44","MC-2","Cv","Ripening",21,"Rice.herb",1
"45","MC-3","Cv","Seedling",50,"Detritivore",1
"46","MC-3","Cv","Tillering",29,"Rice.herb",0.557692307692308
"47","MC-3","Cv","Tillering",23,"Detritivore",0.442307692307692
"48","MC-3","Cv","Flowering",35,"Rice.herb",0.760869565217391
"49","MC-3","Cv","Flowering",11,"Detritivore",0.239130434782609
"50","MC-3","Cv","Ripening",38,"Rice.herb",0.904761904761905
"51","MC-3","Cv","Ripening",4,"Detritivore",0.0952380952380952
"52","LO-1","Or","Seedling",2,"Rice.herb",0.00141242937853107
"53","LO-1","Or","Seedling",1414,"Detritivore",0.998587570621469
"54","LO-1","Or","Tillering",31,"Rice.herb",0.484375
"55","LO-1","Or","Tillering",3,"Tour.herb",0.046875
"56","LO-1","Or","Tillering",30,"Detritivore",0.46875
"57","LO-1","Or","Flowering",36,"Rice.herb",0.947368421052632
"58","LO-1","Or","Flowering",2,"Detritivore",0.0526315789473684
"59","LO-1","Or","Ripening",78,"Rice.herb",1
"60","LO-2","Or","Seedling",252,"Detritivore",1
"61","LO-2","Or","Tillering",21,"Rice.herb",0.5
"62","LO-2","Or","Tillering",21,"Detritivore",0.5
"63","LO-2","Or","Flowering",50,"Rice.herb",0.943396226415094
"64","LO-2","Or","Flowering",3,"Detritivore",0.0566037735849057
"65","LO-2","Or","Ripening",33,"Rice.herb",1
"66","LO-3","Or","Seedling",1,"Rice.herb",0.00309597523219814
"67","LO-3","Or","Seedling",322,"Detritivore",0.996904024767802
"68","LO-3","Or","Tillering",13,"Rice.herb",0.52
"69","LO-3","Or","Tillering",12,"Detritivore",0.48
"70","LO-3","Or","Flowering",14,"Rice.herb",1
"71","LO-3","Or","Ripening",26,"Rice.herb",0.8125
"72","LO-3","Or","Ripening",6,"Detritivore",0.1875
"73","LC-1","Cv","Seedling",126,"Detritivore",1
"74","LC-1","Cv","Tillering",9,"Rice.herb",0.0918367346938776
"75","LC-1","Cv","Tillering",89,"Detritivore",0.908163265306122
"76","LC-1","Cv","Flowering",38,"Rice.herb",0.974358974358974
"77","LC-1","Cv","Flowering",1,"Detritivore",0.0256410256410256
"78","LC-1","Cv","Ripening",37,"Rice.herb",0.880952380952381
"79","LC-1","Cv","Ripening",5,"Detritivore",0.119047619047619
"80","LC-2","Cv","Seedling",152,"Detritivore",1
"81","LC-2","Cv","Tillering",19,"Rice.herb",0.463414634146341
"82","LC-2","Cv","Tillering",22,"Detritivore",0.536585365853659
"83","LC-2","Cv","Flowering",20,"Rice.herb",1
"84","LC-2","Cv","Ripening",17,"Rice.herb",0.944444444444444
"85","LC-2","Cv","Ripening",1,"Detritivore",0.0555555555555556
"86","LC-3","Cv","Seedling",2,"Rice.herb",0.00495049504950495
"87","LC-3","Cv","Seedling",402,"Detritivore",0.995049504950495
"88","LC-3","Cv","Tillering",44,"Rice.herb",0.511627906976744
"89","LC-3","Cv","Tillering",42,"Detritivore",0.488372093023256
"90","LC-3","Cv","Flowering",53,"Rice.herb",0.981481481481482
"91","LC-3","Cv","Flowering",1,"Detritivore",0.0185185185185185
"92","LC-3","Cv","Ripening",74,"Rice.herb",0.986666666666667
"93","LC-3","Cv","Ripening",1,"Detritivore",0.0133333333333333
"94","SO-1","Or","Seedling",27,"Detritivore",1
"95","SO-1","Or","Tillering",138,"Rice.herb",0.734042553191489
"96","SO-1","Or","Tillering",50,"Detritivore",0.265957446808511
"97","SO-1","Or","Flowering",55,"Rice.herb",0.743243243243243
"98","SO-1","Or","Flowering",19,"Detritivore",0.256756756756757
"99","SO-1","Or","Ripening",3,"Rice.herb",0.6
"100","SO-1","Or","Ripening",2,"Detritivore",0.4
"101","SC-1","Cv","Seedling",319,"Detritivore",1
"102","SC-1","Cv","Tillering",32,"Rice.herb",0.484848484848485
"103","SC-1","Cv","Tillering",2,"Tour.herb",0.0303030303030303
"104","SC-1","Cv","Tillering",32,"Detritivore",0.484848484848485
"105","SC-1","Cv","Flowering",78,"Rice.herb",0.804123711340206
"106","SC-1","Cv","Flowering",19,"Detritivore",0.195876288659794
"107","SC-1","Cv","Ripening",2,"Rice.herb",0.666666666666667
"108","SC-1","Cv","Ripening",1,"Detritivore",0.333333333333333
